R_um,D_um,s_um,C_GND_GND_F,C_feedline_feedline_F,C_island_island_F,C_GND_feedline_F,C_GND_island_F,C_feedline_island_F,row_sum_GND_F,row_sum_feedline_F,row_sum_island_F,missing_cap_GND_F,missing_cap_feedline_F,missing_cap_island_F
20.0,400.0,24.0,7.091e-13,1.942e-13,8.671e-15,-1.91e-13,-8.437e-15,-1.393e-17,5.097e-13,3.121e-15,2.204e-16,-5.097e-13,-3.121e-15,-2.204e-16
20.0,400.0,32.0,7.094e-13,1.941e-13,9.057e-15,-1.909e-13,-8.792e-15,-1.566e-17,5.096e-13,3.121e-15,2.497e-16,-5.096e-13,-3.121e-15,-2.497e-16
20.0,400.0,40.0,7.093e-13,1.941e-13,8.966e-15,-1.91e-13,-8.675e-15,-1.723e-17,5.096e-13,3.118e-15,2.738e-16,-5.096e-13,-3.118e-15,-2.738e-16
20.0,400.0,48.0,7.094e-13,1.942e-13,9.132e-15,-1.91e-13,-8.807e-15,-1.926e-17,5.096e-13,3.12e-15,3.056e-16,-5.096e-13,-3.12e-15,-3.056e-16
20.0,400.0,56.0,7.093e-13,1.943e-13,9.029e-15,-1.912e-13,-8.659e-15,-2.213e-17,5.095e-13,3.12e-15,3.479e-16,-5.095e-13,-3.12e-15,-3.479e-16
20.0,400.0,64.0,7.093e-13,1.943e-13,9.079e-15,-1.912e-13,-8.684e-15,-2.375e-17,5.095e-13,3.123e-15,3.718e-16,-5.095e-13,-3.123e-15,-3.718e-16
20.0,400.0,72.0,7.095e-13,1.944e-13,9.254e-15,-1.913e-13,-8.831e-15,-2.546e-17,5.095e-13,3.117e-15,3.976e-16,-5.095e-13,-3.117e-15,-3.976e-16
20.0,400.0,80.0,7.094e-13,1.945e-13,9.018e-15,-1.913e-13,-8.581e-15,-2.634e-17,5.094e-13,3.116e-15,4.101e-16,-5.094e-13,-3.116e-15,-4.101e-16
20.0,500.0,8.0,7.103e-13,1.946e-13,9.197e-15,-1.915e-13,-9.038e-15,-6.043e-18,5.098e-13,3.11e-15,1.527e-16,-5.098e-13,-3.11e-15,-1.527e-16
20.0,500.0,16.0,7.095e-13,1.943e-13,8.803e-15,-1.911e-13,-8.6e-15,-7.759e-18,5.097e-13,3.117e-15,1.949e-16,-5.097e-13,-3.117e-15,-1.949e-16
